"OBJECTID","GISPROPNUM","DEPARTMENT,C,25","ACRES","JURISDICTION","NAME","SHAPE_STA","SHAPE_STL","PRM"
4587,"Q104","Q-01",20.34000000000,"DPR","Queensbridge Park",903579.12501500000,7376.27166037000,"Norman Chan"
4588,"X253","X-15",6.10000000000,"DPR","Ambrosini Field",263831.26419100000,2635.61017490000,"Kristine Zagorski-Kelly"
4589,"Q494","Q-14",0.15900000000,"DPR","Flight 587 Memorial Park",6547.11642456000,403.97931368200,"Dan Piastuck"
4590,"X245","X-06",0.44000000000,"DPR","River Garden",20232.59187320000,582.83240464700,"Christopher Acosta"
4591,"Q465","Q-01",4.89300000000,"DPR","Socrates Sculpture Park",199700.23924300000,3014.55804623000,"Norman Chan"
4592,"B379","B-13",8.66300000000,"DPR","Coney Island Creek Park",377402.78973400000,3372.31057735000,"James Cruickshank"
4593,"B385","B-01",6.61100000000,"DPR","WNYC Transmitter Park",280677.77792400000,2466.20449597000,"Shavonne Vyphius"
4594,"B129","B-13",26.25700000000,"DPR","Kaiser Park",1129923.18513000000,5947.58632660000,"James Cruickshank"
4595,"B126","B-06",58.50300000000,"DPR","Red Hook Recreation Area",2010919.85559000000,14726.84667350000,"Macceau Medozile"
4596,"M290","M-15",0.35600000000,"DPR","Pier 107 CVII",18098.85884090000,725.57808614300,"Mark Vaccaro"
4597,"R008","R-01",4.33900000000,"DPR","Faber Pool and Park",189036.46598800000,1743.32404015000,"Tony Arcamone"
4598,"R046","R-02B",644.35000000000,"DPR","Franklin D. Roosevelt Boardwalk and Beach",28067910.40390000000,32867.00628690000,"Bonnie Williams"
4599,"Q371","Q-14",255.40000000000,"DPR","Rockaway Community Park",12281379.32450000000,24367.40170250000,"Dan Piastuck"
4600,"R079","R-03",104.54500000000,"DPR","Lemon Creek Park",4554018.83336000000,14234.85502360000,"Bill LaCurtis"
4601,"R117","R-01",15.52400000000,"DPR","Alice Austen Park",676228.10450700000,4470.10159321000,"Tony Arcamone"
4602,"R116","R-01",83.30000000000,"DPR","Snug Harbor Cultural Center",3670882.08472000000,18902.25520830000,"Tony Arcamone"
4603,"B166C","B-13",36.81000000000,"DPR","Coney Island Boat Basin",1545136.02191000000,5267.24217047000,"James Cruickshank"
4604,"R139","R-03",9.18100000000,"DPR","Tottenville Shore Park",416061.70002000000,5870.59817496000,"Bill LaCurtis"
4605,"M081","M-08",14.93800000000,"DPR/CDOT","Carl Schurz Park",608430.04400600000,4118.67446237000,"Mark Vaccaro"
4606,"B169A","B-13",1.22500000000,"DPR","Brighton Playground",53401.21217350000,938.87571142800,"James Cruickshank"
4607,"B169B","B-13",2.94400000000,"DPR","Poseidon Playground",128280.84552000000,1545.18365972000,"James Cruickshank"
4608,"Q479","Q-14",1.65700000000,"DPR","Thursby Basin Park",72070.05709840000,1125.28647294000,"Dan Piastuck"
4609,"B125","B-13",85.52700000000,"DPR","Calvert Vaux Park",3554481.93793000000,11231.72832970000,"James Cruickshank"
4610,"M353","M-14",66.69300000000,"DPR","Riverside Park South",2905179.98819000000,9136.09812496000,"John Herrold"
4611,"B369","B-13",10.01000000000,"DPR","Steeplechase Park",435979.57334900000,2974.81700075000,"James Cruickshank"
4612,"B336","B-13",8.80700000000,"DPR","Abe Stark Skating Rink",383781.99101300000,2554.77757197000,"James Cruickshank"
4613,"B401","B-01",1.70000000000,"DPR","Grand Ferry Park",72301.12014770000,1291.49905292000,"Shavonne Vyphius"
4614,"Q126","Q-07",16.83100000000,"DPR","Francis Lewis Park",724614.01431300000,3419.10842617000,"Mark Edwards"
4615,"X305","X-02",6.43800000000,"DPR","Concrete Plant Park",280482.48086500000,4912.33415886000,"Christopher Acosta"
4616,"Q004","Q-01",59.95600000000,"DPR","Astoria Park",2305021.81970000000,12348.97012550000,"Norman Chan"
4617,"Q471","Q-02",10.00000000000,"DPR","Hunter's Point South Park",458420.15536500000,4139.81112417000,"Norman Chan"
4618,"M300","M-12",15.38300000000,"DPR","Sherman Creek",674714.36682100000,4335.04954716000,"Jennifer Hoppa"
4619,"R006","R-03",286.38200000000,"DPR","Conference House Park",12474828.79610000000,42798.84950870000,"Bill LaCurtis"
4620,"X002","X-06",718.37300000000,"DPR","Bronx Park",28387995.70840000000,77120.01484960000,"Christopher Acosta"
4621,"Q467","Q-14",18.76800000000,"DPR","Broad Channel American Park",818214.86978100000,5231.17585787000,"Dan Piastuck"
4622,"B223R","B-01",0.75200000000,"DPR","Jaime Campiz Playground",33695.86184690000,1089.75130354000,"Shavonne Vyphius"
